time,frequency,confidence
0.000,603.531,0.058639
0.010,656.835,0.087263
0.020,663.362,0.055221
0.030,591.240,0.088624
0.040,1959.627,0.020473
0.050,1959.626,0.020411
0.060,1959.624,0.020396
0.070,1959.624,0.020396
0.080,1959.620,0.020397
0.090,1959.613,0.020423
0.100,1959.609,0.020443
0.110,1959.612,0.020461
0.120,1959.620,0.020462
0.130,1959.625,0.020522
0.140,1959.634,0.020551
0.150,1959.638,0.020540
0.160,1959.644,0.020537
0.170,1959.651,0.020532
0.180,1959.649,0.020520
0.190,1959.649,0.020524
0.200,1959.650,0.020523
0.210,1959.652,0.020507
0.220,1959.659,0.020491
0.230,1959.666,0.020485
0.240,1959.669,0.020477
0.250,1959.668,0.020486
0.260,1959.668,0.020486
0.270,1959.668,0.020486
0.280,1959.668,0.020486
0.290,1959.670,0.020481
0.300,1959.669,0.020497
0.310,1959.673,0.020504
0.320,1959.672,0.020504
0.330,1959.667,0.020512
0.340,1959.671,0.020511
0.350,1959.670,0.020519
0.360,1959.663,0.020512
0.370,1959.664,0.020491
0.380,1959.661,0.020467
0.390,1959.665,0.020455
0.400,1959.665,0.020481
0.410,1959.659,0.020513
0.420,1959.650,0.020516
0.430,1959.649,0.020516
0.440,1959.634,0.020505
0.450,1959.630,0.020501
0.460,1959.620,0.020407
0.470,1959.626,0.020375
0.480,1959.631,0.020359
0.490,1959.627,0.020359
0.500,1959.622,0.020361
0.510,1959.622,0.020369
0.520,1959.622,0.020369
0.530,1959.623,0.020365
0.540,1959.623,0.020371
0.550,1959.621,0.020384
0.560,1959.621,0.020394
0.570,1959.622,0.020405
0.580,1959.625,0.020398
0.590,1959.621,0.020408
0.600,1959.616,0.020408
0.610,1959.612,0.020403
0.620,1959.613,0.020394
0.630,1959.610,0.020383
0.640,1959.613,0.020385
0.650,1959.611,0.020386
0.660,1959.614,0.020401
0.670,1959.612,0.020407
0.680,1959.613,0.020408
0.690,1959.614,0.020399
0.700,1959.619,0.020408
0.710,1959.617,0.020408
0.720,1959.617,0.020408
0.730,1959.617,0.020408
0.740,1959.620,0.020395
0.750,1959.620,0.020383
0.760,1959.622,0.020352
0.770,1959.621,0.020346
0.780,1959.611,0.020348
0.790,1959.607,0.020360
0.800,1959.611,0.020324
0.810,1959.617,0.020303
0.820,1959.628,0.020295
0.830,1959.630,0.020310
0.840,1959.634,0.020306
0.850,1959.634,0.020312
0.860,1959.634,0.020302
0.870,1959.634,0.020303
0.880,1959.641,0.020306
0.890,1959.640,0.020321
0.900,1959.636,0.020335
0.910,1959.631,0.020363
0.920,1959.631,0.020369
0.930,1959.633,0.020368
0.940,1959.633,0.020368
0.950,1959.633,0.020368
0.960,1959.632,0.020360
0.970,1959.636,0.020342
0.980,1959.642,0.020335
0.990,1959.641,0.020328
1.000,1959.646,0.020320
1.010,1959.644,0.020291
1.020,1959.642,0.020282
1.030,1959.641,0.020285
1.040,1959.642,0.020301
1.050,1959.641,0.020315
1.060,1959.636,0.020322
1.070,1959.637,0.020325
1.080,1959.637,0.020307
1.090,1959.639,0.020307
1.100,1959.643,0.020280
1.110,1959.649,0.020287
1.120,1959.647,0.020299
1.130,1959.648,0.020304
1.140,1959.655,0.020289
1.150,1959.657,0.020275
1.160,1959.669,0.020277
1.170,1959.678,0.020258
1.180,1959.686,0.020250
1.190,1959.693,0.020251
